bill_updage_count,paid_flg,payway,region,selling_method,arrears_count,identified_doc,entry_age,contract_type,id,domain,campaign,pref,amount,arrears_at,customer_rank,career,sex,age
,,4,T,1,,1,35,1,328362938,0,L,11,,,,12,1,43
,,2,K,1,,1,51,1,240652999,500,L,**,,,,12,2,53
,,2,T,1,,1,24,1,947463003,0,L,**,,,,#,1,28
,,4,C,1,,1,54,1,953171653,0,L,23,,,,#,2,59
,,4,C,0,,1,60,1,945518020,0,#,23,,,,#,1,64
,,4,Q,1,,1,25,1,244501561,0,L,**,,,,12,2,26
1,0,2,K,1,0,1,44,1,249895296,0,a,28,736,99,50,12,2,46
,,90,Q,#,,99,41,1,956086724,320,#,13,,,,#,1,45
,,4,K,1,,1,20,1,948580598,0,L,27,,,,12,2,26
,,4,N,1,,99,32,1,801371174,0,L,32,,,,#,1,48
,,4,T,1,,1,67,1,986513965,0,R,13,,,,11,1,68
,,2,T,#,,3,999,2,266506522,0,9,13,,,,#,#,0
,,4,K,1,,1,45,1,961620891,0,M,27,,,,#,2,50
,,4,K,1,,1,44,1,240645309,0,L,27,,,,#,2,15
,,4,T,1,,21,49,1,250688298,500,L,11,,,,#,2,50
,,4,T,1,,1,44,1,978687809,0,M,13,,,,#,1,47
,,1,T,1,,1,23,1,261307977,0,R,**,,,,#,2,23
,,4,C,1,,2,45,1,500004743,0,L,24,,,,#,1,68
0,1,2,Q,1,4,99,26,1,904490798,0,L,46,5770,3,10,#,2,43
,,3,Q,1,,1,22,1,903479922,0,L,47,,,,#,1,33
,,2,K,1,,1,55,1,953150417,0,L,**,,,,12,2,58
,,2,T,61,,1,36,1,966001228,0,P,13,,,,#,2,39
,,2,R,1,,1,39,1,700351753,0,L,18,,,,#,1,56
,,1,T,1,,99,30,1,994373506,99,#,13,,,,#,1,31
,,4,T,1,,1,47,1,981285917,0,M,**,,,,#,2,49
,,90,T,51,,3,999,2,981405158,0,#,20,,,,#,#,0
,,2,C,1,,8,21,1,980695445,0,L,21,,,,#,2,23
,,4,C,1,,28,76,1,271751940,500,R,23,,,,11,1,76
,,4,T,#,,1,39,1,956333666,10,#,13,,,,#,2,42
,,4,S,1,,99,37,1,403085657,0,L,37,,,,#,1,52
,,4,T,1,,6,35,1,317700725,0,L,13,,,,12,#,0
,,2,T,1,,1,27,1,303125266,0,L,27,,,,#,1,46
,,2,T,51,,3,999,2,969295103,0,#,13,,,,12,#,0
,,4,S,1,,10,42,1,977458897,0,M,36,,,,#,2,44
,,2,K,1,,1,45,1,992599777,0,L,27,,,,12,2,75
,,4,K,61,,1,36,1,983094824,0,P,28,,,,#,2,14
,,1,K,#,,99,44,1,247851301,1610,9,0,,,,#,#,0
,,3,T,#,,1,24,1,973917914,0,#,13,,,,#,2,25
,,4,D,1,,99,17,1,104344195,0,L,1,,,,11,2,24
0,1,3,K,1,3,8,20,1,973137400,0,L,27,245,10,3,#,2,24
,,2,T,1,,8,45,1,256238224,0,L,13,,,,#,1,46
,,2,T,51,,2,999,2,954471350,0,#,14,,,,#,#,0
,,4,C,1,,1,35,1,947477053,0,L,21,,,,12,1,41
,,2,C,1,,1,53,1,503387137,0,L,23,,,,#,1,71
,,4,T,1,,1,44,1,979936791,500,L,**,,,,11,1,46
,,4,T,1,,1,55,1,251805802,500,L,12,,,,#,2,55
,,2,T,1,,1,999,2,970616405,0,0,11,,,,#,#,0
0,0,2,K,1,4,1,35,1,614421368,0,L,28,250,7,20,#,2,49
1,0,3,K,1,1,1,24,1,256272686,0,a,**,813,3,0,12,2,24
,,2,K,1,,1,46,1,990506520,0,L,27,,,,12,2,17
0,0,2,T,1,2,1,30,1,946586929,0,a,14,9720,3,100,#,1,39
,,2,C,1,,1,47,1,500247207,0,L,24,,,,#,1,68
,,2,S,1,,1,63,1,973265491,0,L,39,,,,#,2,65
,,2,T,1,,26,48,1,242093775,0,L,**,,,,#,2,49
,,90,T,51,,3,999,2,945357967,0,9,13,,,,#,#,0
,,2,D,1,,1,56,1,267825925,0,a,**,,,,12,1,56
,,4,K,1,,1,30,1,989407027,500,L,28,,,,12,1,32
,,4,K,1,,10,46,1,606997674,0,L,28,,,,#,1,57
0,,2,K,1,0,1,53,1,986163035,0,M,27,,99,100,#,1,54
,,2,T,1,,1,42,1,305682225,0,L,13,,,,#,1,55
,,90,T,#,,99,999,2,254754149,1900,9,13,,,,#,#,0
,,2,Q,61,,1,48,1,970506557,0,P,**,,,,#,2,50
,,2,K,1,,1,25,1,606027874,0,0,26,,,,#,2,36
,,4,T,1,,1,37,1,971666683,0,L,11,,,,11,1,39
,,4,T,1,,1,29,1,303856019,0,L,12,,,,#,2,48
1,0,2,H,1,0,1,29,1,997402271,0,L,7,6707,99,50,11,1,29
,,1,T,1,,1,21,1,957626251,99,L,13,,,,#,1,31
0,,4,T,1,0,1,18,1,940979125,0,a,8,,99,100,12,1,25
,,4,K,0,,1,24,1,600916583,0,0,27,,,,#,2,44
,,4,T,1,,1,24,1,248971974,0,L,8,,,,11,2,26
,,2,T,1,,1,56,1,840295859,11,#,**,,,,#,#,0
1,0,2,K,1,0,20,26,1,607509667,0,L,17,540,99,50,12,1,34
,,2,T,1,,1,34,1,978716733,0,L,**,,,,#,1,36
,,4,K,1,,1,48,1,990460937,0,L,**,,,,12,1,19
,,4,T,1,,1,35,1,328877360,0,L,11,,,,#,1,18
2,0,3,Q,1,0,1,18,1,964960760,0,L,46,980,99,70,11,2,23
,,3,T,1,,1,40,1,326618548,0,0,34,,,,#,1,48
,,1,T,51,,99,999,2,307702701,0,#,13,,,,11,#,0
,,2,K,1,,1,20,1,600744174,0,L,27,,,,#,1,9
,,1,T,1,,1,43,1,240313539,0,L,14,,,,11,1,69
,,2,T,#,,1,42,1,978758550,0,#,14,,,,#,1,44
,,4,C,1,,1,53,1,988543160,0,L,**,,,,11,2,54
,,2,C,1,,1,38,1,262056982,0,a,**,,,,12,2,16
,,2,T,1,,1,26,1,982922442,0,L,11,,,,12,1,5
,,3,T,1,,1,62,1,307918369,0,L,24,,,,#,1,69
0,,4,K,1,0,1,55,1,251516815,0,L,**,,99,10,12,1,55
,,2,C,1,,99,50,1,268347607,500,L,23,,,,#,2,50
0,0,4,K,1,0,1,39,1,981697620,0,L,27,324,99,100,12,1,18
,,4,T,51,,3,999,2,989877292,0,#,13,,,,11,#,0
,,2,D,1,,1,48,1,104342540,0,L,1,,,,12,2,54
,,90,T,51,,99,999,2,970829012,0,#,27,,,,#,#,0
,,3,T,1,,1,37,1,245525773,0,L,9,,,,12,2,37
,,1,T,#,,3,999,2,260839566,0,9,13,,,,#,#,0
,,4,T,1,,1,35,1,327920816,0,L,11,,,,12,1,43
,,2,T,#,,1,63,1,972305318,0,#,13,,,,#,1,66
,,3,T,#,,1,50,1,964809710,0,#,**,,,,#,2,52
,,2,T,#,,1,38,1,977064941,0,#,12,,,,#,1,40
0,0,2,C,1,0,1,47,1,258115765,500,L,**,1,99,30,#,1,48
,,2,T,1,,99,54,1,325362916,0,0,13,,,,#,1,66
,,2,T,1,,1,999,2,990611181,500,L,14,,,,#,#,0
,,4,H,1,,1,49,1,262759519,0,a,4,,,,#,1,49
0,1,2,C,1,3,1,43,1,987209100,0,L,23,324,10,100,#,2,45
,,2,T,1,,1,36,1,958863865,0,L,20,,,,11,2,40
0,0,4,K,1,0,12,51,1,966402693,0,L,26,240,99,80,11,2,55
,,3,H,1,,1,43,1,982807521,0,M,3,,,,#,2,45
0,0,2,T,1,10,1,46,1,991385475,0,L,**,590,3,3,11,2,48
,,4,S,1,,1,51,1,981262973,0,L,**,,,,#,1,54
1,0,4,Q,1,0,1,57,1,992542408,0,L,44,2149,99,80,12,2,60
,,2,C,1,,1,44,1,256115235,0,a,**,,,,#,1,12
1,0,2,K,1,0,1,30,1,248001187,0,L,27,1080,99,50,12,1,30
,,4,T,1,,17,19,1,963916805,0,L,**,,,,11,2,23
0,1,2,C,1,0,1,48,1,246456576,0,L,21,960,99,50,12,2,24
,,4,T,1,,1,47,1,959213419,0,L,**,,,,11,2,20
,,4,K,1,,1,43,1,997241994,500,L,**,,,,#,2,15
,,2,S,1,,99,49,1,403296435,0,L,38,,,,#,2,63
,,4,N,1,,1,45,1,970628577,0,L,34,,,,11,1,48
,,4,T,1,,1,31,1,241275825,0,L,11,,,,#,1,32
,,2,S,1,,11,51,1,403746975,0,L,36,,,,#,1,26
,,3,N,1,,1,43,1,272112704,0,a,**,,,,#,2,43
,,2,T,1,,1,36,1,966544469,0,L,22,,,,11,1,39
,,2,T,1,,20,39,1,307546468,0,L,13,,,,11,1,49
0,0,2,H,1,0,1,30,1,203928582,0,L,15,240,99,70,#,1,46
,,2,T,1,,1,999,2,253419346,0,L,1,,,,#,#,0
,,2,Q,1,,1,32,1,988717959,0,L,41,,,,11,1,33
,,3,T,1,,17,19,1,980482826,0,L,13,,,,#,1,19
,,2,Q,1,,99,40,1,903851893,0,L,40,,,,#,1,56
,,4,Q,1,,1,38,1,968761459,0,L,43,,,,#,2,43
,,2,T,1,,1,26,1,325798870,0,L,13,,,,#,1,38
,,4,T,1,,1,43,1,318092471,0,L,40,,,,#,1,52
,,4,T,#,,1,52,1,975672642,0,#,13,,,,#,2,54
,,2,N,1,,1,53,1,941306812,0,L,35,,,,12,1,26
,,3,T,1,,1,19,1,308855705,0,0,14,,,,#,1,27
,,2,K,1,,1,68,1,948370160,0,L,26,,,,#,1,72
,,4,K,1,,1,42,1,973228715,0,L,28,,,,#,1,44
0,0,2,T,1,0,1,24,1,325330293,0,L,12,540,99,100,#,1,36
0,0,2,C,1,0,1,51,1,987317445,0,L,23,794,99,50,12,2,52
0,0,4,T,1,0,1,32,1,240981431,0,L,**,4960,99,70,12,1,33
,,2,T,1,,1,36,1,987939806,0,L,**,,,,11,2,37
,,2,Q,0,,1,20,1,907499790,0,#,44,,,,#,1,27
,,2,C,1,,1,20,1,955237022,0,L,**,,,,#,1,17
1,1,4,C,1,0,1,24,1,961153593,0,L,**,56370,99,100,12,1,29
,,4,K,1,,1,29,1,963301853,0,L,**,,,,#,1,32
,,2,H,0,,2,999,2,974628670,0,#,6,,,,#,#,0
1,0,2,K,1,0,1,36,1,963204936,0,L,26,360,99,70,11,2,41
,0,4,T,1,,1,34,1,250661602,0,L,14,130,,,12,2,34
,,4,T,1,,1,37,1,327292430,0,L,**,,,,#,2,46
,,3,K,1,,1,42,1,959614690,0,L,**,,,,12,2,46
,,4,C,1,,1,55,1,973841728,0,M,23,,,,#,2,57
0,1,2,T,1,3,1,32,1,979210773,0,L,13,1090,10,3,11,1,35
,,4,T,1,,1,36,1,980041549,0,L,14,,,,#,2,38
,,2,T,#,,1,26,1,974321231,10,#,**,,,,#,2,28
,,4,K,1,,1,46,1,262681464,0,a,**,,,,11,2,11
,,4,N,1,,1,34,1,987863938,0,L,31,,,,11,1,36
,,4,K,1,,1,27,1,974544246,0,L,27,,,,#,2,29
,,2,T,1,,1,50,1,954500424,0,L,**,,,,#,2,19
,,4,T,1,,20,41,1,318236670,0,L,13,,,,#,1,50
0,0,4,T,1,0,1,33,1,318749479,0,a,12,3450,99,80,11,1,43
,,4,C,1,,1,27,1,507127199,0,L,23,,,,#,1,40
1,0,4,Q,1,0,1,26,1,244375658,0,L,47,1000,99,70,12,2,26
,,4,C,1,,1,30,1,507223442,0,L,23,,,,#,2,44
,,4,C,1,,2,999,2,515565026,0,0,23,,,,12,#,0
0,0,4,K,1,0,1,48,1,259777637,0,a,28,1,99,30,12,2,48
,,2,K,1,,1,50,1,601194845,0,L,28,,,,#,1,69
,,2,R,1,,1,22,1,940408390,0,L,**,,,,11,1,29
,,2,T,51,,3,999,2,976965678,0,#,13,,,,#,#,0
,,2,K,#,,6,40,1,977373342,10,#,28,,,,#,2,42
,,4,C,1,,1,49,1,245592336,500,L,24,,,,#,2,50
,,4,T,1,,1,22,1,306743251,0,L,12,,,,#,1,32
,,2,C,1,,1,30,1,514689609,0,L,24,,,,#,1,43
,,4,K,#,,1,30,1,969747039,0,#,**,,,,#,2,33
,,1,T,51,,16,999,2,964599980,0,#,13,,,,11,#,0
0,0,2,T,1,0,6,20,1,254927742,0,a,26,2760,99,0,#,2,22
,,2,Q,1,,1,21,1,952055878,0,L,40,,,,#,2,23
,,4,R,#,,1,32,1,259589876,500,9,**,,,,#,2,32
,,4,T,1,,10,15,1,953721821,0,L,14,,,,#,2,20
,,4,T,1,,1,34,1,965112866,0,L,11,,,,11,1,36
,,2,T,1,,10,22,1,953165400,0,R,14,,,,#,2,28
,,4,T,1,,1,32,1,945644269,0,L,**,,,,12,1,38
,,2,R,0,,99,48,1,941457555,0,#,18,,,,#,1,54
,,4,T,1,,1,57,1,994203670,0,L,14,,,,#,2,58
,,2,T,#,,99,46,1,960146660,10,#,12,,,,#,1,49
,,2,K,1,,1,65,1,971956871,0,L,**,,,,#,1,66
,,2,K,1,,1,18,1,613262252,0,L,**,,,,#,2,34
,,2,C,1,,1,37,1,506907882,0,L,13,,,,#,2,51
,,4,T,1,,1,46,1,986389936,0,L,**,,,,12,1,47
,,2,K,1,,1,21,1,606732934,0,L,13,,,,#,1,30
,,4,Q,1,,27,24,1,906986134,0,L,35,,,,#,1,35
,0,2,C,1,,1,44,1,245580069,500,L,23,150,,,#,1,44
,,4,K,0,,1,24,1,266417956,0,9,27,,,,#,1,27
,0,4,T,1,,27,23,1,242087188,0,X,13,1680,,,#,2,23
,,4,K,1,,1,37,1,940992317,0,L,27,,,,#,1,44
0,0,2,K,1,0,12,37,1,972719650,500,L,27,540,99,10,#,1,41
,,3,K,1,,1,48,1,985703836,500,L,**,,,,12,1,50
,,4,Q,1,,99,39,1,955457345,0,L,46,,,,#,1,17
,,4,R,1,,1,45,1,951459891,0,M,16,,,,#,1,50
,,1,T,51,,16,999,2,964018557,0,#,40,,,,#,#,0
,,2,T,1,,1,61,1,949583498,0,L,13,,,,#,2,67
,,4,C,0,,99,20,1,505000717,0,0,23,,,,#,2,37
1,0,2,K,1,3,1,31,1,605427806,0,L,27,324,10,3,#,2,46
1,0,4,K,1,0,1,37,1,251350557,0,L,27,2930,99,50,#,1,37
0,0,4,D,1,0,1,48,1,103811388,0,L,1,240,99,50,#,2,58
,,2,T,51,,3,999,2,973138374,0,#,23,,,,#,#,0
,,4,K,1,,1,59,1,989274630,0,L,27,,,,11,1,61
,,4,N,1,,1,32,1,840248380,0,a,**,,,,12,2,32
1,0,2,T,1,1,1,42,1,940155239,0,a,10,1007,8,30,#,1,22
,,2,R,1,,1,49,1,959746581,0,M,16,,,,#,2,53
,,4,T,#,,1,66,1,261694569,500,9,**,,,,#,1,67
,,2,Q,1,,1,32,1,247361066,0,L,33,,,,12,1,32
0,0,2,T,1,0,99,17,1,323824699,0,L,14,19600,99,60,#,1,35
,,3,H,1,,1,22,1,268531254,0,a,4,,,,11,2,22
,,4,K,1,,1,57,1,982927761,0,L,25,,,,12,1,15
,,2,T,0,,16,999,2,973409010,0,#,13,,,,#,#,0
,,4,T,#,,8,33,1,972052725,0,#,13,,,,#,2,35
,,1,T,51,,99,999,2,975666372,0,#,13,,,,#,#,0
,,1,T,51,,3,999,2,962480754,0,#,13,,,,#,#,0
,,2,K,1,,1,999,2,614265439,0,L,28,,,,#,#,0
,,3,T,1,,17,24,1,975318528,0,L,13,,,,#,1,26
,,2,T,1,,1,25,1,250447920,0,L,**,,,,11,1,26
,,4,C,#,,1,50,1,979236036,10,#,**,,,,#,1,50
,,4,T,1,,1,55,1,987959970,0,L,14,,,,16,1,57
,0,4,T,1,,1,32,1,246973959,0,L,12,9200,,,12,1,32
,,2,T,0,,98,999,2,963231563,0,#,23,,,,#,#,0
,,2,T,1,,1,58,1,950146725,0,R,42,,,,12,1,66
,,4,T,1,,1,29,1,261642606,0,a,**,,,,#,2,29
,,4,T,1,,1,34,1,956284869,0,L,20,,,,11,1,39
,,4,K,1,,1,42,1,988710871,0,L,28,,,,12,1,43
,,2,T,51,,3,999,2,982535557,0,#,13,,,,#,#,0
,,4,T,0,,1,71,1,307591381,0,0,27,,,,#,1,81
,,2,T,#,,1,35,1,259116946,500,9,**,,,,#,2,35
,,4,K,1,,1,61,1,941318499,10,L,27,,,,#,1,66
,,4,T,1,,1,52,1,958664727,0,M,13,,,,#,2,56
,,4,T,1,,1,62,1,275527054,0,a,**,,,,#,1,62
,,3,T,1,,1,20,1,945613387,0,L,**,,,,#,2,24
,,2,C,1,,1,40,1,947063232,0,L,**,,,,11,1,46
,,2,T,1,,1,37,1,328651356,0,L,11,,,,#,2,44
,,4,T,1,,1,40,1,942843506,0,L,**,,,,#,1,47
,,2,T,1,,1,999,2,989232367,0,L,12,,,,#,#,0
,,2,T,51,,3,999,2,255016946,0,9,13,,,,#,#,0
,,4,K,1,,1,66,1,265382647,0,a,**,,,,12,2,67
,,2,K,1,,1,73,1,993867416,500,L,**,,,,#,1,74
,,2,C,0,,1,35,1,985096457,500,9,11,,,,#,1,40
,,4,Q,1,,1,53,1,970472014,0,L,**,,,,#,1,55
,,2,K,1,,1,41,1,980028796,500,L,28,,,,16,1,44
,,2,T,1,,1,24,1,340258980,0,L,8,,,,#,1,31
,,2,C,1,,1,35,1,946521430,0,L,23,,,,#,1,19
0,0,4,T,1,0,99,41,1,323397202,0,a,11,330,99,100,#,2,59
,,2,C,1,,1,35,1,979715452,0,L,22,,,,11,2,38
,,2,C,1,,1,22,1,275461885,0,a,24,,,,12,2,22
,,4,T,1,,1,33,1,958765798,0,L,**,,,,#,1,36
,,2,T,1,,1,22,1,951708592,0,L,9,,,,#,1,24
,,2,T,1,,1,999,2,947984977,0,M,25,,,,#,1,999
,,2,C,1,,1,38,1,968449098,0,M,23,,,,#,1,40
1,0,4,T,1,0,1,31,1,960668213,0,L,13,200,99,90,12,2,35
,,2,H,1,,1,66,1,945363530,0,L,**,,,,#,2,72
,,3,S,1,,17,29,1,946821452,0,L,11,,,,11,2,35
,,2,T,1,,1,47,1,324174812,0,R,9,,,,#,1,62
,,2,T,#,,1,44,1,259128671,500,9,**,,,,#,2,45
,,4,T,1,,1,45,1,991020744,500,R,**,,,,#,2,19
,,2,T,1,,1,21,1,305500330,0,L,13,,,,#,1,32
,,2,T,1,,1,999,2,327915714,0,0,13,,,,11,#,0
,,2,T,1,,1,25,1,240859292,0,R,1,,,,#,2,25
,,4,Q,1,,1,25,1,960944686,0,a,**,,,,11,2,31
,,2,T,#,,3,999,2,267482314,0,9,13,,,,#,#,0
,,4,S,#,,1,43,1,984234621,500,#,**,,,,12,1,44
,,4,C,1,,1,42,1,262568477,500,L,23,,,,#,1,15
,,4,T,1,,1,40,1,960979065,0,L,19,,,,11,2,44
,,4,T,1,,1,33,1,960423469,0,L,**,,,,11,2,35
,,2,C,1,,1,27,1,513010345,0,a,21,,,,#,1,46
,,90,T,51,,99,999,2,309328482,0,#,**,,,,#,#,0
,,2,T,61,,1,69,1,946443591,0,P,13,,,,#,1,74
0,0,4,T,1,0,1,50,1,977202454,500,L,14,350,99,100,#,2,53
,,4,T,1,,10,29,1,965956303,0,L,13,,,,11,1,33
,,4,Q,1,,1,62,1,262281446,500,L,**,,,,#,1,63
,,2,T,1,,1,999,2,978567804,0,L,13,,,,#,#,0
0,,4,T,1,0,10,45,1,963751418,0,L,**,,99,130,11,2,49
,,90,T,0,,99,999,5,240441138,0,#,13,,,,#,1,999
,,2,Q,1,,1,69,1,966731078,0,L,40,,,,#,2,71
,,4,K,#,,1,36,1,971496821,0,#,28,,,,#,1,39
,,4,H,1,,1,44,1,203221449,0,L,6,,,,#,2,18
,,4,K,1,,1,32,1,958881584,0,L,**,,,,11,2,36
,,2,N,#,,1,37,1,973293114,0,#,33,,,,#,1,38
,,4,T,1,,1,24,1,310042220,0,L,13,,,,#,2,44
,,90,T,51,,3,999,2,309475405,0,9,**,,,,#,#,0
,,2,T,1,,1,54,1,962002588,0,L,**,,,,#,2,57
,,4,T,1,,1,29,1,944965171,0,L,14,,,,#,2,33
,,4,K,1,,1,41,1,963178569,0,M,26,,,,#,1,43
0,0,2,C,#,0,1,43,1,256833088,500,9,24,1,99,30,#,2,41
0,0,2,K,1,0,1,43,1,240730430,0,L,28,240,99,20,#,1,15
,,3,T,1,,1,41,1,978020457,500,L,13,,,,16,1,46
1,0,2,T,1,0,8,35,1,246755687,0,a,11,4169,99,40,11,2,37
,,4,N,1,,12,81,1,963093120,0,L,33,,,,#,2,84
,,2,H,1,,1,40,1,988375019,0,L,5,,,,11,1,42
,,2,T,1,,21,22,1,305848290,0,L,23,,,,#,1,34
,,2,Q,#,,1,38,1,258775205,500,9,**,,,,12,1,38
,,4,T,#,,1,36,1,951920341,10,#,**,,,,#,2,41
,,2,C,0,,1,23,1,953348090,0,#,24,,,,#,2,28
0,0,2,H,1,0,17,17,1,959400900,0,L,5,324,99,100,11,1,22
,,1,T,1,,1,999,2,960737358,0,M,13,,,,#,#,0
,,2,T,51,,3,999,2,989902684,0,#,24,,,,#,#,0
,0,4,T,1,,1,33,1,951078321,0,L,11,980,,,11,1,39
,,4,Q,1,,1,29,1,962406035,0,M,**,,,,#,2,31
,,2,T,1,,1,23,1,975535850,0,L,**,,,,#,1,26
,,2,C,1,,2,999,2,508394216,0,L,22,,,,12,#,0
,,2,T,51,,3,999,2,979288979,0,#,13,,,,#,#,0
,,2,T,1,,6,54,1,313631068,0,L,11,,,,#,2,43
,,2,T,1,,1,999,2,964877569,0,L,40,,,,#,#,0
,,2,K,1,,1,63,1,615456007,0,L,29,,,,12,1,72
,,2,K,#,,1,21,1,968087391,10,#,**,,,,#,1,24
,,4,T,1,,1,30,1,327797623,0,L,14,,,,11,1,41
,,3,C,#,,1,31,1,509367290,0,#,22,,,,#,2,37
,,4,T,1,,1,38,1,250388710,0,L,**,,,,#,2,14
,,2,R,1,,1,71,1,261757663,0,a,**,,,,12,1,71
,,4,T,1,,1,52,1,244016287,0,L,14,,,,16,1,52
,,4,T,1,,8,19,1,316416261,0,L,11,,,,#,1,34
,,4,T,1,,1,49,1,943163629,0,L,11,,,,12,2,55
,,2,T,1,,1,46,1,317783468,0,L,14,,,,#,2,56
,,4,H,1,,10,62,1,943206269,0,L,6,,,,#,2,70
,,4,T,51,,98,999,2,942335238,0,#,13,,,,#,#,0
,,2,T,1,,1,999,2,944729976,0,H,27,,,,#,#,0
,,90,T,51,,3,999,2,940774106,0,#,27,,,,#,#,0
,,4,T,#,,1,34,1,962388479,0,#,11,,,,#,1,36
,,4,Q,1,,1,28,1,969613951,0,L,13,,,,#,2,30
,,2,T,0,,1,999,2,956333862,0,#,13,,,,#,#,0
,,1,T,1,,98,999,2,979633803,0,M,28,,,,#,#,0
,,2,K,1,,1,29,1,603489035,0,a,27,,,,#,1,49
,,2,T,1,,1,999,2,995098354,0,L,27,,,,#,#,0
,,2,T,1,,1,43,1,992500541,500,L,12,,,,11,1,44
,,2,C,61,,20,70,1,970556870,0,P,21,,,,#,2,73
,,1,T,51,,16,999,2,327974828,0,0,11,,,,12,#,0
,,4,T,1,,1,41,1,986986028,0,L,15,,,,11,2,43
,,1,T,#,,99,45,1,253669506,1610,9,0,,,,#,#,0
,,4,T,51,,3,999,2,941997364,0,#,13,,,,#,#,0
1,0,4,T,1,0,1,41,1,963305581,0,L,13,2014,99,110,12,2,19
,,2,T,1,,99,54,1,317898067,0,R,8,,,,11,2,64
,,4,K,1,,1,25,1,946164151,100,L,25,,,,12,2,31
0,0,2,N,1,0,1,18,1,982297045,0,a,**,996,99,90,#,2,23
1,0,2,Q,1,0,8,15,1,953436088,0,L,44,3110,99,50,#,2,21
,,2,Q,0,,99,45,1,901017406,0,L,41,,,,#,2,63
,,4,H,1,,1,41,1,200328632,0,0,3,,,,#,1,60
,,4,D,1,,1,44,1,966672797,0,L,**,,,,#,1,46
,,2,T,1,,1,45,1,954310149,0,L,14,,,,#,2,14
,,4,T,1,,99,41,1,313155354,0,L,13,,,,#,2,59
,,4,N,1,,99,63,1,270422687,500,R,33,,,,#,2,64
0,0,2,D,1,0,17,12,1,104168502,0,a,1,120,99,50,#,1,23
,,4,D,61,,8,71,1,986854810,0,L,1,,,,#,2,73
,,2,T,51,,3,999,2,994702976,0,#,27,,,,11,#,0
,,2,T,1,,1,20,1,981073821,0,L,27,,,,12,2,22
,,4,K,1,,17,16,1,606506874,0,L,27,,,,12,1,26
1,0,4,T,1,0,1,44,1,958977141,0,L,14,2116,99,90,#,1,51
,,4,T,51,,99,999,2,967728648,0,#,**,,,,#,#,0
,,3,C,#,,1,23,1,966456653,10,#,23,,,,#,1,25
,,4,K,1,,1,37,1,979560506,0,L,**,,,,#,2,40
,,1,T,1,,1,21,1,957144782,99,L,13,,,,#,1,25
,,4,C,#,,1,48,1,968365174,0,#,23,,,,#,1,50
,,4,T,1,,1,24,1,990335325,500,L,8,,,,12,2,26
,,4,Q,1,,1,63,1,994055645,500,L,37,,,,11,1,65
,,3,T,1,,8,56,1,994203565,0,R,9,,,,#,1,57
,,2,T,1,,1,40,1,942933928,0,L,14,,,,#,1,43
,,90,T,#,,99,999,2,257930776,2300,9,4,,,,12,#,0
,,3,Q,1,,1,49,1,260004475,0,a,**,,,,11,1,56
,,2,T,#,,1,35,1,963402853,0,#,**,,,,#,1,39
0,0,4,T,1,0,1,51,1,258855573,0,a,**,480,99,30,12,2,51
,,4,C,1,,8,32,1,951077768,0,L,23,,,,12,1,34
,,4,K,1,,20,21,1,616058446,0,L,28,,,,12,2,28
,,2,T,1,,1,38,1,243509670,0,L,12,,,,#,2,14
,,2,N,1,,1,62,1,804691148,0,L,**,,,,#,2,71
,,3,T,1,,17,20,1,340538824,0,L,13,,,,#,1,27
,,2,T,1,,17,16,1,308018188,0,0,10,,,,#,1,25
0,0,2,S,1,0,1,32,1,403327814,0,L,37,500,99,100,#,1,47
,,4,C,1,,1,47,1,505717027,0,L,21,,,,#,2,63
,,2,T,1,,1,999,2,991636188,0,L,12,,,,#,#,0
,,3,T,1,,26,44,1,959052796,0,L,14,,,,#,2,49
,,4,C,#,,1,40,1,968125920,0,#,23,,,,#,1,42
,,2,T,1,,1,26,1,304515718,0,L,11,,,,#,1,41
0,0,2,R,1,1,1,49,1,985672101,0,L,16,108,11,100,12,1,50
0,0,2,N,1,0,1,38,1,254856709,0,a,**,240,99,50,#,2,39
,,2,C,1,,1,50,1,991071465,0,L,23,,,,#,1,52
,,4,T,1,,1,50,1,961898355,0,M,14,,,,#,1,52
,,90,T,51,,3,999,2,340157649,0,#,13,,,,12,#,0
,,2,T,1,,1,64,1,969583298,0,L,**,,,,#,1,67
,,4,T,1,,99,61,1,949311242,0,R,14,,,,#,2,67
,,4,K,#,,1,33,1,953194319,10,#,24,,,,#,2,36
0,0,2,C,1,0,27,23,1,982659858,0,L,23,324,99,100,#,1,25
,,3,T,1,,27,48,1,247211649,0,L,13,,,,11,2,49
,,4,T,1,,1,44,1,974743186,500,L,14,,,,11,1,46
,,4,C,61,,1,44,1,977644732,0,P,22,,,,#,1,47
,,2,T,1,,3,999,2,241346273,0,L,23,,,,#,#,0
,,2,T,1,,16,999,2,327194556,0,L,11,,,,11,#,0
0,0,4,Q,1,0,1,63,1,251862128,500,L,**,1,99,50,#,1,67
,,4,C,1,,1,28,1,996786823,500,R,**,,,,#,1,29
,,4,T,1,,1,35,1,996996027,500,R,10,,,,#,1,35
,,4,K,1,,1,18,1,990744141,500,L,27,,,,#,1,19
,,4,N,1,,99,22,1,800867861,0,L,33,,,,#,2,40
,,1,T,51,,99,999,2,327851852,0,#,23,,,,#,#,0
,,2,T,1,,1,24,1,953607429,0,L,13,,,,11,1,30
,,4,K,#,,1,37,1,257638339,500,9,**,,,,#,1,38
,,2,T,1,,1,29,1,947937196,0,L,14,,,,#,2,35
