age,customer_rank,arrears_count,sex,region,contract_type,selling_method,campaign,arrears_at,identified_doc,career,entry_age,amount,domain,pref,id,payway,paid_flg,bill_updage_count
46,80,0,1,Q,1,1,L,99,1,12,46,307,500,**,996765099,4,0,0
39,100,0,1,K,1,1,L,99,1,#,19,972,0,27,603308147,4,0,0
42,100,0,2,T,1,1,a,99,1,12,30,518,0,12,515762160,4,0,0
78,5,0,2,T,1,1,L,99,1,11,69,240,0,**,309890784,4,0,0
67,3,7,1,Q,1,1,L,4,21,#,67,230,500,42,996757526,2,1,1
28,50,0,2,T,1,1,a,99,1,12,33,226,0,9,248004286,4,0,1
27,10,2,2,C,1,1,L,4,1,#,21,1833,0,23,947010864,4,1,1
27,40,1,2,H,1,1,a,6,17,11,19,15230,0,4,955258180,2,0,1
0,100,0,#,T,2,1,L,99,1,#,999,810,0,40,978074390,2,1,0
30,60,0,1,T,1,1,L,99,1,#,22,57760,0,**,328046222,2,0,0
0,50,0,#,T,2,1,L,99,1,#,999,540,0,33,942483003,2,0,1
45,80,0,1,C,1,1,L,99,1,11,45,32940,0,**,996500802,4,0,0
24,50,0,1,C,1,1,L,99,1,12,21,2100,0,**,241449623,4,0,1
36,30,0,1,T,1,1,L,99,1,12,36,2310,500,**,259151641,4,0,0
57,130,0,2,T,1,1,L,99,99,#,41,988,0,12,323336416,4,0,0
37,100,0,1,T,1,1,L,99,1,12,32,324,0,1,981602580,4,0,0
61,100,0,1,K,1,1,L,99,1,#,49,324,0,29,605987087,2,0,0
57,70,0,1,K,1,1,L,99,1,#,57,700,0,**,256116192,4,0,1
28,70,0,2,C,1,1,L,99,10,#,21,1007,0,23,944465341,2,0,1
62,100,0,1,K,1,1,L,99,1,12,61,324,500,**,990685519,4,0,0
34,3,3,2,C,1,1,L,10,1,#,54,1493,0,22,981487141,2,0,1
35,100,0,2,T,1,1,a,99,1,11,30,194,0,**,960132638,3,0,0
33,70,0,2,Q,1,1,L,99,1,12,25,3460,0,13,954109847,2,0,1
42,0,0,1,H,1,1,L,99,99,#,28,250,0,4,203857430,2,0,0
24,50,0,2,Q,1,1,L,99,17,11,18,6674,0,**,953473591,2,0,2
31,100,0,1,D,1,1,L,99,1,11,25,250,0,**,954651043,4,0,0
26,100,0,1,H,1,1,L,99,1,12,19,324,0,7,205303024,4,0,0
23,110,0,2,T,1,1,L,99,1,12,19,615,0,46,969346117,4,0,0
57,80,0,1,T,1,1,L,99,1,#,57,1058,500,8,243201916,4,0,1
31,3,10,2,T,1,1,L,3,1,#,19,324,0,11,325747130,2,1,0
31,80,0,1,K,1,1,a,99,1,11,26,65042,0,28,972581461,3,0,1
33,100,0,2,T,1,1,L,99,1,12,31,5850,500,**,987024179,2,0,0
34,5,0,2,T,1,1,a,99,1,#,34,1620,0,8,254390671,2,1,0
44,60,0,1,T,1,1,L,99,1,#,28,480,0,12,305152546,2,0,0
25,50,1,2,Q,1,1,L,6,1,12,24,2149,0,**,251062480,2,0,1
52,100,0,1,N,1,1,L,99,1,11,51,324,0,33,990746162,4,0,0
23,50,0,1,T,1,1,a,99,17,12,17,4063,0,10,969747198,2,0,1
38,80,0,1,T,1,1,L,99,1,#,21,2000,0,11,303828308,2,0,0
46,110,0,2,Q,1,1,L,99,1,#,27,4780,0,27,901089765,4,0,1
34,0,1,2,K,1,1,L,3,28,#,34,529,0,27,254138288,3,0,1
48,70,0,2,C,1,1,a,99,1,#,34,3100,0,21,508123122,2,0,0
21,50,0,2,H,1,1,a,99,1,12,46,1480,0,4,988604555,2,0,1
28,100,0,1,Q,1,1,a,99,1,#,20,324,0,**,952251299,4,0,0
22,100,0,2,Q,1,1,a,99,1,12,20,700,0,40,250025619,4,0,0
32,100,0,2,T,1,1,L,99,20,11,24,250,0,13,309821535,4,0,1
38,3,3,1,K,1,1,a,10,1,11,35,600,0,28,989383407,4,0,0
5,2,0,2,N,1,1,a,99,1,12,37,1782,0,33,250888757,4,0,1
26,60,0,1,T,1,1,L,99,1,#,15,1200,0,11,306355671,2,0,0
35,70,0,2,T,1,1,L,99,8,12,34,1967,0,15,250896038,4,0,1
30,90,0,1,T,1,1,a,99,17,#,21,1710,0,11,942568698,4,0,0
44,80,0,1,S,1,1,L,99,1,11,42,594,0,37,988360718,4,0,1
42,10,1,2,C,1,1,L,3,1,11,32,1274,0,21,516131845,2,0,1
30,80,0,2,T,1,1,L,99,1,11,22,540,0,12,951105834,2,0,1
65,100,0,1,T,1,1,L,99,1,11,58,100,0,14,964519390,4,0,0
30,80,0,1,Q,1,1,L,99,1,11,30,1000,0,46,996954348,4,0,0
56,60,0,1,T,1,0,#,99,1,#,56,540,500,4,251415354,4,0,1
26,100,0,2,T,1,1,L,99,1,12,25,324,0,13,987343457,4,0,0
67,30,0,1,K,1,1,a,99,1,#,56,7904,0,**,254949433,2,0,0
53,90,0,1,Q,1,1,L,99,1,#,44,1000,0,47,906860380,4,0,0
65,50,0,1,T,1,1,L,99,1,12,64,120,500,13,245436588,2,0,0
46,100,0,2,C,1,1,a,99,1,#,26,120,0,23,504101356,4,0,0
45,90,0,2,T,1,1,a,99,1,12,41,216,0,27,981591777,4,0,1
23,80,0,2,K,1,1,L,99,1,11,18,640,0,28,953095161,2,0,0
36,50,0,2,Q,1,1,L,99,1,12,33,8835,500,28,990894845,2,0,1
40,30,1,2,K,1,0,#,8,1,11,40,756,500,**,251593957,2,0,1
64,50,0,2,K,1,1,L,99,1,#,62,120,500,**,995434676,4,0,0
34,100,0,2,K,1,1,L,99,8,12,31,120,500,27,968508119,2,0,0
999,3,0,1,Q,2,1,L,99,1,#,999,600,0,40,905304294,2,0,0
20,100,1,2,T,1,#,9,8,1,#,51,180,500,14,252254040,4,0,0
49,80,0,1,T,1,1,a,99,99,#,38,700,0,14,307141215,2,0,1
35,10,3,1,T,1,1,a,3,20,11,25,9649,0,14,309166244,2,0,1
46,70,0,1,N,1,1,L,99,99,#,42,360,0,34,961358918,2,0,1
23,90,0,2,T,1,1,L,99,20,#,15,2289,0,13,340109463,4,0,1
29,100,0,2,N,1,1,L,99,1,#,15,1760,0,33,804039769,2,0,1
46,110,0,2,T,1,1,L,99,1,#,29,1007,0,14,324853967,4,0,1
34,100,0,2,T,1,1,L,99,1,11,28,3000,0,13,969969620,4,0,0
53,100,7,1,R,1,1,R,4,1,#,47,756,0,**,970124515,2,1,0
35,100,0,2,T,1,1,a,99,1,#,21,2640,0,12,326041355,2,0,0
37,60,0,2,K,1,1,L,99,1,12,36,230,0,27,991318818,2,0,0
33,50,0,1,K,1,#,9,99,1,11,33,3960,500,**,247149078,2,0,0
46,5,9,2,T,1,1,L,3,1,11,43,480,0,7,970135101,2,1,0
58,90,0,2,C,1,1,L,99,1,#,57,3522,500,23,246007823,4,0,1
23,80,0,2,K,1,1,a,99,1,12,22,1007,0,30,254730510,4,0,0
35,0,7,2,C,1,1,a,6,1,11,29,7500,0,**,968796299,2,0,0
26,50,0,2,C,1,1,L,99,1,#,13,594,0,**,515447561,2,0,1
22,100,0,2,C,1,1,L,99,17,11,19,880,0,23,970950339,4,0,0
56,3,1,1,D,1,1,L,3,1,#,56,540,500,1,250667636,2,1,1
30,100,0,1,T,1,1,a,99,99,#,17,756,0,11,306442902,2,0,0
23,90,0,2,T,1,1,L,99,17,#,14,1480,0,11,308410073,4,0,1
66,100,0,1,T,1,1,L,99,1,#,62,108,0,**,963229101,4,0,0
45,100,0,2,C,1,1,L,99,1,#,26,756,0,21,513495371,4,0,0
0,20,0,#,T,2,0,9,99,16,#,999,11448,0,13,309866371,90,0,0
53,60,0,1,K,1,1,L,99,8,#,34,720,0,27,603973861,2,0,0
34,100,0,2,T,1,1,L,99,1,#,25,120,0,8,308577857,4,0,0
17,20,0,2,Q,1,1,a,99,1,11,49,3229,0,46,989401085,4,0,1
56,100,0,2,Q,1,1,L,99,99,#,41,648,0,43,904331662,4,0,0
12,20,0,1,C,1,1,a,99,1,#,39,840,0,22,251463625,2,0,0
50,10,1,2,Q,1,1,L,5,1,#,43,1007,0,40,941231241,2,1,2
57,3,7,1,T,1,1,L,6,1,12,52,2607,0,16,951831773,2,0,0
43,100,0,2,R,1,1,R,99,99,#,31,324,0,17,703443846,4,0,0
38,120,0,1,C,1,1,L,99,1,#,20,324,0,21,503906673,4,0,0
58,90,0,2,R,1,1,L,99,1,#,42,120,0,17,700556475,2,0,0
25,100,0,2,T,1,1,L,99,8,#,17,324,0,14,328362977,4,0,0
26,50,4,1,K,1,1,L,9,1,11,20,980,0,**,943179604,2,1,1
33,100,0,1,K,1,1,a,99,1,11,30,5418,0,26,994782657,4,0,1
21,3,7,1,Q,1,1,L,6,1,#,18,2640,0,47,992201395,2,1,0
59,0,7,1,K,1,1,L,4,1,#,59,2200,0,**,244262712,2,1,0
37,10,5,1,T,1,1,L,3,20,#,25,1007,0,14,325819787,2,0,1
41,90,0,1,K,1,1,L,99,1,#,39,120,0,28,986495927,4,0,0
37,100,0,1,H,1,1,L,99,1,#,49,540,0,4,204066385,2,0,0
22,100,0,2,R,1,1,L,99,17,11,17,324,0,16,971742892,4,0,0
47,90,0,2,T,1,1,L,99,1,12,46,8848,0,**,984157606,4,0,1
32,50,0,2,T,1,1,L,99,8,#,25,2590,0,34,944606697,2,0,1
49,5,0,1,T,1,1,L,99,1,#,49,1,0,9,254842363,4,0,0
21,50,0,2,H,1,1,L,99,1,#,50,360,0,2,250905231,2,1,0
29,60,0,1,C,1,1,L,99,1,11,25,3450,0,21,962950439,4,0,1
24,30,0,1,Q,1,1,a,99,1,12,24,324,0,43,257431752,3,0,0
0,50,0,#,T,2,1,L,99,2,11,999,315,0,12,957234365,2,0,0
23,90,0,2,N,1,1,a,99,1,#,18,996,0,**,982297045,2,0,0
35,60,0,1,N,1,1,L,99,1,#,24,3390,0,34,804304408,2,0,1
20,80,0,2,T,1,1,L,99,8,12,18,1440,0,12,985908560,4,0,0
51,30,0,1,C,1,1,a,99,1,12,50,5122,0,23,258537077,2,0,0
47,100,0,1,K,1,1,L,99,1,12,45,120,500,27,986675376,4,0,0
24,100,0,1,T,1,1,L,99,17,12,18,120,0,12,949210206,4,0,1
52,100,0,2,T,1,1,a,99,1,#,43,540,0,33,328618567,4,0,0
66,50,0,1,K,1,1,L,99,99,#,48,1950,0,13,604024193,4,0,0
45,50,0,2,T,1,1,L,99,1,12,45,240,500,**,240935263,2,0,0
30,110,0,2,T,1,1,L,99,1,#,21,31632,0,**,942255870,4,0,1
18,20,0,1,K,1,1,L,99,1,11,46,1000,0,28,981866560,2,1,1
50,80,0,1,T,1,1,L,99,1,11,50,432,500,20,252927644,4,0,1
35,80,0,1,Q,1,1,L,99,1,11,34,1007,500,**,989919041,4,0,1
25,90,0,2,Q,1,1,L,99,1,#,44,2000,0,40,905880387,4,0,1
60,40,1,2,Q,1,1,L,8,99,#,45,2880,0,47,904643547,2,0,0
41,30,0,2,Q,1,1,L,99,1,11,40,480,500,40,258311459,4,0,0
30,70,0,2,T,1,1,L,99,1,12,20,2560,0,11,307659814,2,0,1
43,100,0,2,K,1,1,L,99,20,#,26,191,0,28,604909956,4,0,1
17,20,0,1,Q,1,1,a,99,8,12,17,4115,0,46,259309733,2,0,0
53,150,0,2,T,1,1,L,99,1,#,35,960,0,13,303307964,4,0,0
37,3,3,2,T,1,1,L,10,1,12,33,324,0,12,984753778,3,1,0
61,50,0,1,C,1,1,L,99,1,#,52,324,0,23,508960857,2,0,0
23,50,0,1,Q,1,#,#,99,1,#,22,500,500,**,241844520,3,0,0
24,70,0,1,D,1,1,L,99,17,11,18,3433,0,1,952187931,3,0,1
36,100,0,2,H,1,1,L,99,1,#,25,957,0,4,204501002,4,0,1
56,50,0,2,H,1,1,a,99,1,11,56,240,0,**,249543095,3,0,0
61,50,0,1,N,1,1,L,99,1,11,61,7100,0,**,250628448,4,0,1
26,3,8,1,H,1,1,L,4,17,11,18,2099,0,15,948018935,3,0,1
39,20,2,2,K,1,1,L,8,6,#,39,19720,500,27,242984211,2,1,0
55,3,2,1,T,1,1,a,3,8,#,51,1200,0,13,989256105,2,0,0
30,100,0,2,K,1,1,L,99,1,#,27,324,0,**,968843790,4,1,0
42,120,0,2,K,1,1,L,99,1,11,34,980,0,28,340076234,4,0,1
47,100,0,2,C,1,1,L,99,1,#,30,324,0,23,513359109,3,0,0
77,30,0,2,T,1,1,a,99,28,#,77,1,0,13,259701493,2,0,0
45,100,0,2,K,1,1,L,99,1,#,21,15660,0,27,600198483,2,0,1
20,50,0,1,Q,1,1,L,99,1,12,55,48367,0,40,996753204,2,0,1
37,110,0,1,S,1,1,L,99,1,#,18,540,0,34,400155976,4,0,0
45,80,0,1,K,1,1,L,99,1,11,45,540,0,27,243270197,2,0,1
31,80,0,2,Q,1,1,L,99,1,11,30,1940,0,46,988527028,4,0,1
32,5,10,1,Q,1,1,L,3,1,12,23,130,0,40,907029864,2,1,0
55,100,4,1,T,1,1,L,3,1,12,55,540,0,**,254022937,2,1,0
29,110,0,2,N,1,1,L,99,10,11,24,2117,0,34,955420405,4,0,1
33,90,0,2,T,1,1,L,99,1,12,33,400,0,12,249276861,4,0,0
28,5,0,2,T,1,1,L,99,1,#,28,1040,500,13,254791836,2,0,1
45,110,0,2,T,1,1,L,99,1,#,37,1369,0,**,318493618,4,0,1
46,80,0,2,T,1,1,L,99,99,#,34,4460,0,14,326946670,4,0,1
45,100,0,1,Q,1,1,L,99,1,11,36,324,0,40,942021904,4,0,0
34,50,0,1,T,1,1,L,99,1,#,33,438,0,**,250027837,2,0,0
52,120,0,1,K,1,1,L,99,99,#,35,10000,0,28,604810831,4,0,0
48,50,0,2,Q,1,1,L,99,1,16,47,240,500,40,246501993,2,0,0
38,50,0,1,T,1,1,L,99,1,#,31,700,0,33,941233934,2,0,1
30,100,0,2,N,1,1,a,99,1,#,16,302,0,31,804065070,2,0,0
57,70,0,2,Q,1,1,L,99,1,#,38,41430,0,40,900848579,2,0,0
47,70,0,1,T,1,1,L,99,99,11,37,7080,0,14,307221995,2,0,0
12,20,0,1,Q,1,1,a,99,1,#,42,240,0,40,247732927,2,0,1
21,90,0,1,K,1,1,L,99,1,11,19,130,0,28,989620284,2,0,0
46,100,0,2,T,1,1,L,99,1,#,30,120,0,11,315495248,4,0,0
60,50,0,1,K,1,#,#,99,1,12,60,594,500,25,249001924,4,0,1
56,100,0,1,T,1,1,L,99,1,11,54,540,500,**,992010977,4,0,0
22,50,3,2,T,1,1,L,10,1,#,33,2060,0,8,304994413,2,0,0
56,60,0,2,C,1,1,L,99,1,#,51,2160,0,**,951308967,2,0,1
49,5,4,2,T,1,1,L,3,1,#,46,960,500,**,994572541,2,0,0
33,60,0,1,D,1,1,L,99,99,#,15,130,0,1,103139962,3,0,1
54,90,0,2,N,1,1,L,99,1,12,54,960,0,31,995234713,4,0,0
41,70,0,1,N,1,1,L,99,99,#,23,5205,0,34,800698076,2,0,0
25,60,0,2,H,1,1,a,99,1,#,13,5720,0,4,204740382,2,0,0
66,50,0,2,T,1,1,L,99,1,#,49,3500,0,11,314672720,2,0,0
67,50,0,1,T,1,1,L,99,1,11,65,720,0,14,243641417,2,0,0
27,50,0,2,T,1,1,L,99,17,12,23,4636,0,13,970827781,2,0,1
16,20,0,1,H,1,1,L,99,1,#,49,3120,500,**,248672967,2,0,0
36,100,0,1,H,1,1,L,99,1,12,31,328,0,4,951230898,4,0,0
43,5,0,1,T,1,1,L,99,1,#,41,1,0,11,255989819,4,0,0
34,30,0,1,D,1,1,a,99,1,12,33,190,0,1,258157540,4,0,0
39,90,0,2,Q,1,1,L,99,1,#,33,980,0,**,950391751,2,0,1
26,50,0,1,K,1,1,L,99,1,#,20,47400,0,**,947240077,2,0,0
44,50,0,2,H,1,1,L,99,1,12,41,1,0,7,982770275,2,0,0
19,50,0,1,T,1,1,L,99,1,11,57,1440,0,13,961711448,4,0,0
25,100,0,1,K,1,1,L,99,1,#,40,864,0,27,615846754,3,0,0
29,100,0,2,C,1,1,L,99,1,11,28,5414,0,21,993151295,4,0,0
42,130,0,2,N,1,1,L,99,1,#,35,56,0,**,945558467,4,0,1
42,100,0,2,T,1,1,a,99,1,11,36,648,0,**,960542693,4,0,0
54,20,4,2,T,1,1,L,6,1,11,50,2930,0,**,965412484,2,0,0
54,50,0,1,T,1,1,a,99,1,#,45,11057,0,13,941286252,2,0,1
50,90,0,1,K,1,1,L,99,1,#,31,9237,0,13,603022026,2,0,1
52,60,0,1,T,1,1,L,99,1,#,46,4780,0,12,946758798,2,0,0
69,50,0,1,T,1,1,a,99,1,#,51,1,0,10,315242148,2,0,0
63,100,0,1,C,1,1,L,99,99,#,42,324,0,22,500802733,2,0,0
44,30,0,2,T,1,1,a,99,1,12,44,540,0,**,255645739,4,0,1
39,30,0,1,T,1,1,L,99,1,12,39,2052,500,12,253860722,4,0,1
48,50,0,2,K,1,1,L,99,1,#,48,49900,500,25,241778681,2,0,0
40,80,0,1,K,1,1,L,99,1,#,28,3479,0,27,615147653,2,0,0
47,100,0,1,S,1,1,L,99,1,#,32,500,0,37,403327814,2,0,0
23,5,0,1,T,1,#,9,99,27,#,22,1300,500,13,244499758,3,0,1
14,20,0,1,N,1,1,L,99,1,#,44,4244,500,**,253332923,4,0,1
17,100,0,2,Q,1,1,a,99,1,#,43,1800,0,40,250904934,4,0,0
34,80,0,2,H,1,1,a,99,1,#,18,77833,0,5,203834037,4,0,1
44,100,0,2,D,1,1,L,99,10,12,40,432,0,1,972191223,4,0,0
43,100,0,2,T,1,1,a,99,1,11,36,47660,0,**,960060396,4,0,0
31,10,2,2,T,1,1,L,6,8,12,31,500,0,13,241450932,2,0,0
69,100,3,1,N,1,1,L,10,1,#,58,756,0,32,804162012,2,1,0
41,120,0,1,T,1,1,L,99,1,#,22,40000,0,14,313089454,4,0,0
26,100,0,2,T,1,#,L,99,1,11,26,340,500,**,252668102,4,0,0
55,100,0,2,H,1,1,L,99,1,16,55,324,500,4,240448568,2,0,0
28,5,4,1,K,1,1,a,3,1,11,26,403,0,27,248977511,2,0,1
21,30,0,1,T,1,1,a,99,28,#,18,2640,0,11,997018089,3,0,1
37,100,0,2,T,1,1,L,99,1,#,20,324,0,13,310324820,4,0,0
45,30,0,2,Q,1,1,L,99,1,#,45,120,500,**,258339529,4,0,0
45,3,7,2,N,1,1,L,6,99,#,43,85,0,33,986979969,2,1,0
24,100,0,2,T,1,1,a,99,99,12,20,480,0,13,985744205,4,0,0
29,100,3,2,T,1,1,a,8,1,#,24,324,0,**,977476722,2,1,0
39,70,0,2,T,1,1,L,99,1,11,38,1200,0,9,995936097,4,0,0
40,90,0,1,N,1,1,L,99,99,#,20,2594,0,34,801306867,2,0,0
34,90,0,1,T,1,1,L,99,1,11,28,12971,0,**,970188107,4,0,0
28,30,0,2,N,1,#,#,99,1,12,28,1,500,35,250974827,2,0,0
42,100,0,2,T,1,1,a,99,1,11,33,2617,0,13,941704978,4,0,0
36,70,0,2,K,1,1,L,99,11,#,16,20000,0,27,604036186,2,0,1
25,110,0,2,C,1,1,a,99,1,#,14,624,0,23,509148199,4,0,1
22,50,0,2,Q,1,1,L,99,1,#,21,3600,0,40,244083109,2,0,0
30,60,0,2,Q,1,1,L,99,1,#,15,1007,0,**,905243332,4,0,1
22,50,0,2,D,1,1,L,99,1,#,45,2279,0,1,103845019,2,0,1
25,100,0,1,R,1,1,L,99,17,#,14,540,0,16,703656846,2,0,0
46,30,0,2,T,1,1,a,99,1,#,45,120,0,12,257040887,4,0,0
26,70,0,1,T,1,1,a,99,17,#,18,4600,0,27,950809770,4,0,0
48,60,7,1,T,1,1,L,3,1,#,42,60000,0,12,970740492,3,1,1
34,100,9,1,Q,1,1,a,3,1,#,24,324,0,23,907190591,2,1,0
47,50,0,2,T,1,1,a,99,8,#,27,10800,0,14,303971162,2,0,1
59,50,0,2,T,1,1,L,99,1,11,55,1120,0,**,963473869,4,0,1
48,90,0,1,Q,1,1,L,99,1,#,45,240,500,**,968627411,4,0,0
26,3,0,1,K,1,1,L,99,1,#,19,1007,0,**,940690461,4,1,1
27,40,1,2,T,1,1,L,7,1,#,21,36040,0,14,944564552,2,0,0
45,3,6,2,H,1,1,L,7,1,#,33,3000,0,7,204819338,2,0,0
49,5,0,2,K,1,1,L,99,1,#,49,594,500,**,256229846,4,0,0
36,100,0,2,C,1,1,a,99,1,11,30,756,0,22,972073367,2,0,0
28,70,0,2,K,1,1,a,99,1,12,22,1500,0,27,948499644,2,0,2
26,70,0,2,R,1,1,L,99,1,11,21,480,0,18,954751444,2,0,0
25,50,0,2,T,1,1,a,99,1,12,22,240,0,**,244023958,2,0,0
25,80,0,1,T,1,1,a,99,1,12,23,960,0,**,246808177,4,0,0
52,100,0,2,T,1,1,L,99,1,11,47,1658,0,13,970719186,4,0,1
16,20,0,1,C,1,1,L,99,99,#,46,1,0,23,992206448,4,0,0
31,80,0,2,T,1,1,L,99,1,11,24,8000,0,14,942694159,2,0,1
999,40,2,1,S,2,1,L,9,1,#,999,1058,0,38,403782353,2,0,1
21,100,0,1,C,1,1,L,99,1,#,36,648,0,22,516040963,90,0,0
23,80,0,1,R,1,1,a,99,1,11,23,1000,0,17,246070005,4,0,0
20,3,4,1,H,1,1,L,9,1,#,20,580,0,2,246226039,2,1,0
25,70,0,1,H,1,1,a,99,1,12,22,75880,0,7,247134807,4,1,1
24,50,0,1,C,1,1,L,99,1,11,23,3589,0,**,989390843,3,0,1
50,110,0,1,N,1,1,L,99,1,11,48,1224,500,**,986232924,4,0,0
34,100,3,1,H,1,1,a,10,1,11,27,324,0,13,955600258,2,1,0
24,60,0,1,T,1,1,a,99,1,12,20,2040,0,14,990103033,2,0,0
28,100,0,2,T,1,1,L,99,1,11,21,100,0,**,941616950,2,0,0
54,100,0,2,K,1,1,L,99,1,12,53,120,500,27,993757630,4,0,0
26,70,0,1,T,1,1,a,99,1,11,57,240,0,12,972553648,2,0,0
31,100,0,2,T,1,1,a,99,1,#,21,16870,0,14,340561949,4,0,0
36,140,0,1,T,1,1,L,99,1,11,28,240,0,14,340104430,4,0,2
30,90,0,1,T,1,1,L,99,1,11,26,700,0,**,961674491,4,0,1
40,3,8,2,T,1,1,a,3,8,#,23,3000,0,12,324409785,2,1,0
25,50,0,1,T,1,1,L,99,17,#,17,8262,0,**,954545278,2,0,1
30,80,0,1,T,1,1,L,99,1,#,28,4309,0,14,989893830,2,0,1
17,20,0,1,D,1,1,L,99,1,#,59,2160,500,1,241129420,2,0,0
57,60,0,2,Q,1,1,L,99,99,#,42,2419,0,41,903661393,2,0,1
28,90,0,2,T,1,1,L,99,8,11,20,240,0,13,940701937,4,0,0
50,100,0,1,T,1,#,9,99,1,#,50,360,500,**,252783749,4,0,0
25,80,0,2,T,1,1,a,99,1,#,25,1800,0,**,253257849,4,0,0
43,3,4,2,T,1,1,L,9,21,#,39,960,0,13,990808429,2,1,0
34,30,0,1,N,1,1,a,99,1,11,34,969,0,35,258915029,4,0,0
33,60,0,2,T,1,1,L,99,1,11,30,2000,0,27,977662834,3,0,0
27,0,3,1,C,1,1,a,10,1,#,18,8570,0,**,946773043,2,0,0
43,3,3,1,C,1,1,a,10,1,#,34,1580,0,23,942086619,3,0,1
18,20,0,2,N,1,1,L,99,1,11,53,3180,0,**,963659527,4,0,0
54,10,0,1,Q,1,1,a,99,1,#,54,9902,0,43,256600625,4,0,1
18,20,0,2,T,1,1,L,99,1,12,46,432,0,**,991192830,4,0,1
43,100,0,1,K,1,1,L,99,1,11,39,324,0,**,964818440,2,0,0
32,90,0,1,T,1,1,a,99,1,11,24,1800,0,11,941552230,4,0,1
33,80,0,1,N,1,1,L,99,1,12,32,45100,0,**,994227533,4,0,0
35,50,0,1,T,1,1,L,99,8,#,22,1750,0,14,325588726,2,0,0
43,100,0,1,Q,1,1,L,99,1,#,27,972,0,40,903561421,2,0,0
26,50,0,1,T,1,1,L,99,1,11,21,2600,0,**,951518763,2,0,0
40,100,0,2,K,1,1,L,99,1,#,25,302,0,27,614667592,4,0,0
51,60,0,1,C,1,1,a,99,1,#,40,3340,0,23,509134476,2,0,0
51,100,0,1,C,1,1,L,99,99,#,29,6900,0,22,504666823,4,0,0
34,90,0,2,C,1,0,L,99,1,#,23,8400,0,22,508153529,4,0,0
32,0,8,2,N,1,1,L,3,1,11,27,1481,0,32,961010464,2,1,2
20,80,0,1,Q,1,1,L,99,1,12,19,38678,0,14,988744524,4,0,1
37,80,0,2,T,1,1,L,99,1,#,36,350,500,13,992192133,4,0,0
40,80,0,2,K,1,1,a,99,1,#,18,5291,0,28,603217097,3,0,0
55,80,0,2,K,1,1,L,99,1,#,54,15400,0,29,987019188,4,0,0
58,50,0,2,D,1,1,L,99,1,11,57,2617,0,**,987491658,4,0,1
34,100,0,2,T,1,1,L,99,1,12,27,3716,0,13,318743047,2,0,0
68,50,0,2,H,1,1,L,99,1,#,54,1027,0,4,203907030,2,0,1
7,2,0,2,T,1,1,L,99,1,#,32,120,500,**,242585555,2,0,0
17,20,0,2,D,1,1,L,99,8,12,17,518,0,1,998032217,2,0,1
32,80,1,1,T,1,1,a,9,26,#,23,47507,0,22,943383877,90,0,1
42,80,0,1,T,1,1,L,99,1,#,35,2000,0,**,942431774,4,0,1
23,70,0,2,Q,1,1,L,99,1,12,18,5557,0,40,984586153,2,0,0
51,20,4,1,D,1,1,L,6,2,#,32,9236,0,1,103060973,2,0,0
25,40,2,2,H,1,1,a,10,1,11,18,8070,0,7,956547674,2,0,0
52,50,0,1,T,1,0,L,99,1,#,41,2149,0,11,317373774,2,0,1
49,60,0,2,K,1,1,L,99,8,#,30,88,0,27,601255639,3,0,1
26,90,0,1,C,1,1,L,99,1,#,20,2610,0,**,945822028,4,0,1
30,50,1,1,T,1,1,L,6,1,11,27,5510,500,**,979067823,2,0,1
38,100,0,2,T,1,1,L,99,6,11,31,1680,0,13,943705957,4,0,1
51,100,0,2,K,1,1,L,99,1,#,51,2128,500,**,245793247,4,0,0
48,60,0,2,T,1,1,L,99,8,12,47,4400,0,13,990517724,4,0,1
28,50,0,1,C,1,1,L,99,1,11,26,300,0,21,245601822,2,0,0
62,50,0,1,T,1,1,L,99,1,#,54,120,0,27,327863373,2,0,1
33,0,3,2,T,1,1,L,10,6,11,28,1200,0,14,963643668,2,1,0
33,50,0,1,T,1,1,L,99,1,12,32,596,0,14,991191383,3,0,1
53,110,0,1,K,1,1,L,99,99,#,40,240,0,25,614580714,4,0,0
48,70,0,2,D,1,1,L,99,1,16,48,518,500,1,247793788,4,0,1
39,30,0,1,Q,1,1,a,99,1,11,39,1,0,**,258768682,4,0,0
36,120,0,2,T,1,1,L,99,1,#,19,2002,0,14,304006242,4,0,1
37,50,0,2,T,1,1,a,99,1,11,30,6000,0,42,962010225,2,0,0
41,100,0,1,C,1,1,L,99,1,#,41,302,500,23,244890927,2,0,0
25,5,0,2,T,1,1,L,99,6,#,25,2200,500,12,257409587,2,0,0
47,5,0,2,S,1,1,L,99,1,#,47,1134,500,**,253869974,2,0,1
50,100,0,1,T,1,1,a,99,1,12,43,2014,0,**,960770905,4,0,1
65,100,0,2,N,1,1,a,99,99,#,58,700,0,33,962789488,4,0,0
28,100,0,2,K,1,1,a,99,1,12,19,540,0,**,944176549,2,0,0
43,50,0,1,K,1,1,L,99,8,#,26,756,0,27,604346604,2,0,0
44,80,0,2,T,1,1,L,99,1,#,31,108,0,12,325501558,2,0,0
31,90,0,2,C,1,1,L,99,1,12,31,7200,500,22,996648209,4,0,0
42,90,0,1,T,1,1,L,99,1,#,27,9090,0,9,314928141,4,0,0
44,100,1,1,T,1,1,L,12,1,11,40,540,0,1,977736926,2,0,0
18,100,0,1,Q,1,1,L,99,1,12,45,324,0,40,997538970,4,0,0
