region,id,campaign,contract_type,payway,paid_flg,arrears_at,pref,career,sex,arrears_count,domain,amount,age,selling_method,entry_age,customer_rank,identified_doc,bill_updage_count
C,956022396,a,1,2,1,3,23,#,1,7,0,2880,21,1,13,0,8,0
N,985849631,L,1,4,0,99,**,12,1,0,0,2576,39,1,37,80,1,1
R,703058841,L,1,2,0,99,17,#,1,0,0,324,83,1,65,100,1,0
T,303336157,L,1,4,0,99,13,#,2,0,0,880,58,1,36,120,99,1
T,998089541,L,1,4,0,99,**,#,1,0,500,2538,34,1,34,100,1,1
Q,257022178,a,1,2,0,99,**,11,1,0,0,1,46,1,46,30,1,0
T,944992030,L,1,4,0,99,13,#,1,0,0,880,36,1,30,90,6,0
C,246202085,L,1,4,0,99,**,12,2,0,0,540,23,1,21,100,1,0
T,253257849,a,1,4,0,99,**,#,2,0,0,1800,25,1,25,80,1,0
,257264342,,,,0,,,,,,,1440,,,,,,
T,318714380,L,1,4,0,99,**,12,2,0,0,2200,51,1,44,130,1,0
C,965277394,L,1,4,0,99,**,11,2,0,0,341,54,1,50,130,1,0
,977227273,,,,1,,,,,,,12330,,,,,,
T,994029947,L,1,4,0,99,13,12,2,0,0,1300,23,1,22,80,1,0
Q,984716064,L,1,4,0,99,40,11,1,0,0,8621,33,1,32,90,1,1
K,258191741,a,1,2,0,99,28,12,2,0,0,980,42,1,41,30,1,1
H,988604555,a,1,2,0,99,4,12,2,0,0,1480,21,1,46,50,1,1
T,251426070,L,1,4,0,99,13,11,1,0,0,77800,27,1,27,80,1,1
K,603204807,L,1,4,0,99,27,#,1,0,0,200,36,1,18,90,8,0
,941595257,,,,0,,,,,,,3000,,,,,,
C,994457990,L,1,4,0,99,**,#,2,0,500,360,61,1,60,50,1,0
T,303556382,L,1,4,0,99,**,#,2,0,0,2084,43,1,25,100,6,0
T,308815053,a,1,4,0,99,**,11,2,0,0,324,23,1,38,100,1,0
C,513495371,L,1,4,0,99,21,#,2,0,0,756,45,1,26,100,1,0
,983567686,,,,1,,,,,,,260,,,,,,
K,253349443,L,1,4,0,99,**,#,1,0,500,300,14,1,51,20,1,0
,203188400,,,,0,,,,,,,130,,,,,,
Q,996855429,L,1,4,0,99,42,#,2,0,500,480,27,1,27,3,1,0
N,944627123,L,1,2,0,99,34,#,1,0,0,448,47,1,40,80,99,0
K,967248577,L,1,4,0,99,**,11,2,0,0,648,43,1,38,100,8,0
,306116802,,,,0,,,,,,,720,,,,,,
Q,255023461,a,1,4,0,99,47,12,1,0,0,226,23,1,23,70,1,1
N,990701012,a,1,4,0,99,31,12,2,0,0,1249,46,1,42,20,1,1
T,328716291,L,1,4,0,99,14,12,2,0,0,1110,42,1,34,100,1,0
C,971047307,L,1,2,0,99,23,12,1,0,0,324,19,1,39,100,1,0
S,246739422,L,1,2,0,99,39,12,1,0,500,700,56,1,56,60,1,1
K,246244809,L,1,4,0,99,**,12,2,0,500,972,23,1,22,100,1,0
,960244648,,,,0,,,,,,,1030,,,,,,
K,607212681,L,1,2,0,99,**,#,1,0,0,1800,42,1,34,70,1,1
Q,949496370,a,1,4,0,6,40,11,2,4,0,4900,37,1,29,40,1,0
T,997135667,#,1,4,0,99,13,11,1,0,500,960,57,#,56,90,1,0
T,241171062,R,1,2,0,99,13,#,1,0,0,1800,69,1,67,50,1,0
T,315300295,L,1,4,0,99,13,#,2,0,0,500,68,1,25,100,1,0
T,947994535,L,1,4,0,99,13,#,1,0,0,6540,31,1,25,0,1,0
,248524980,,,,0,,,,,,,1700,,,,,,
T,248617175,a,1,2,0,99,**,11,2,0,0,5168,66,1,64,50,1,1
K,607407595,L,1,4,0,6,26,12,2,1,0,30,41,1,31,50,1,1
,251170586,,,,0,,,,,,,360,,,,,,
T,989702845,L,1,2,1,5,35,12,2,3,0,240,32,1,28,10,1,0
N,803283147,a,1,4,0,99,34,#,2,0,0,540,43,1,25,100,99,0
K,606775266,L,1,4,0,99,**,#,1,0,0,324,67,1,55,50,1,0
T,246095732,a,1,4,0,99,15,11,2,0,0,572,53,1,50,60,1,2
,986199612,,,,0,,,,,,,980,,,,,,
Q,952251299,a,1,4,0,99,**,#,1,0,0,324,28,1,20,100,1,0
H,992565664,L,1,2,0,99,4,#,2,0,0,1,43,1,42,50,1,0
N,804885153,L,1,3,0,99,34,#,2,0,0,1900,33,1,25,70,1,1
,248596521,,,,0,,,,,,,2900,,,,,,
K,607174972,L,1,2,0,5,27,#,2,6,0,130,37,1,30,3,1,0
C,943200697,L,1,4,0,99,23,#,2,0,0,324,32,1,26,80,25,1
T,980185572,L,1,4,0,99,**,12,1,0,0,540,61,1,59,50,1,1
C,953379217,L,1,2,0,5,7,#,1,4,0,10000,45,1,40,10,1,1
T,973853795,L,1,3,1,10,11,#,1,3,0,324,23,1,20,100,17,0
K,990494093,L,1,3,0,99,28,#,1,0,500,324,17,1,50,20,1,0
T,251248691,#,1,3,1,99,27,12,1,0,0,1,21,0,21,10,27,0
T,259701493,a,1,2,0,99,13,#,2,0,0,1,77,1,77,30,28,0
T,992577812,L,1,4,0,99,**,#,2,0,500,300,28,1,27,80,1,0
H,256250929,L,1,4,0,99,**,#,1,0,500,1,43,1,42,70,1,0
,968641980,,,,0,,,,,,,130,,,,,,
T,243711575,L,1,4,0,99,**,11,2,0,0,6780,56,1,56,80,1,1
T,971335948,L,1,3,0,99,11,#,2,0,0,324,19,1,54,100,1,0
R,952907635,L,1,2,0,99,**,#,2,0,0,4340,27,1,22,70,1,1
Q,903027957,L,1,2,0,99,40,#,2,0,0,240,62,1,46,50,99,0
T,947153192,L,1,4,0,9,**,11,1,1,0,400,43,1,35,70,1,1
K,603741783,L,1,2,0,99,27,#,1,0,0,11020,39,1,21,80,1,1
T,947812004,L,1,4,0,99,1,11,2,0,0,6059,44,1,35,110,1,1
C,982749972,L,1,4,0,99,24,11,2,0,0,324,43,1,41,100,1,0
T,253687464,L,1,4,0,99,12,12,1,0,0,2149,22,1,21,80,1,1
D,940420497,L,1,3,0,99,1,#,2,0,0,324,20,1,32,100,1,0
H,986143225,L,1,2,0,5,7,11,2,2,0,240,44,1,43,10,1,0
T,947950282,a,1,4,0,99,13,12,2,0,0,360,59,1,51,120,10,1
R,246070005,a,1,4,0,99,17,11,1,0,0,1000,23,1,23,80,1,0
T,242225140,L,1,4,0,99,12,12,2,0,0,31415,22,1,38,70,1,1
,253846773,,,,0,,,,,,,960,,,,,,
,963577595,,,,0,,,,,,,2800,,,,,,
N,977465279,L,1,2,0,99,33,#,2,0,0,1080,17,1,47,20,1,1
K,244357504,L,1,2,0,99,**,11,2,0,500,564,53,1,53,50,1,1
K,982666238,a,1,4,0,99,**,11,2,0,0,800,45,1,41,90,1,0
,966832587,,,,0,,,,,,,130,,,,,,
,940854876,,,,0,,,,,,,4200,,,,,,
D,104310134,L,1,4,0,99,1,12,1,0,0,100,25,1,18,110,1,1
T,307531712,L,1,4,0,99,11,#,2,0,0,2200,39,1,28,100,1,1
K,615147653,L,1,2,0,99,27,#,1,0,0,3479,40,1,28,80,1,0
D,243571994,L,1,2,0,99,1,#,2,0,500,216,27,1,27,50,1,0
T,993430829,L,1,2,0,99,11,11,2,0,0,1058,58,1,55,50,1,1
T,240595163,L,1,4,0,99,10,#,1,0,0,537,15,1,49,20,99,1
Q,951904717,a,1,4,1,10,40,#,1,3,0,324,54,1,46,100,1,0
N,242070007,L,1,4,0,99,33,11,2,0,0,574,16,1,43,20,1,0
C,998117218,L,1,2,0,99,23,12,1,0,0,1600,34,1,34,50,1,0
S,972481744,a,1,2,0,99,38,12,2,0,0,302,45,1,39,100,1,0
,996761947,,,,0,,,,,,,90,,,,,,
T,326269398,L,1,2,0,99,9,#,2,0,0,550,71,1,58,40,1,0
T,969514138,L,1,4,0,99,**,11,2,0,0,120,20,1,48,110,1,0
T,941564627,a,1,4,0,99,8,12,1,0,0,1007,28,1,19,100,1,0
T,252788371,L,1,2,0,99,**,#,2,0,500,4104,46,1,44,50,1,1
Q,906678361,a,1,4,0,99,41,#,1,0,0,1058,25,1,38,100,1,1
T,940637650,a,1,2,0,99,14,11,1,0,0,10000,37,1,27,50,1,0
,258937026,,,,0,,,,,,,600,,,,,,
Q,904874993,L,1,2,0,99,40,#,2,0,0,505,17,1,27,70,99,1
T,973814227,a,1,4,0,99,13,12,2,0,0,120,65,1,59,50,1,0
C,247541364,L,1,2,0,99,23,12,1,0,500,324,39,1,37,50,1,1
K,968113202,a,1,4,0,99,29,12,2,0,0,200,49,1,45,90,1,1
T,306479023,L,1,4,0,99,14,#,2,0,0,918,25,1,43,100,99,0
Q,250176625,#,1,3,0,4,**,#,2,1,500,578,46,#,46,20,1,1
D,986869121,R,1,4,0,99,**,#,2,0,500,240,67,1,63,50,1,0
C,249521462,L,1,4,0,99,**,11,2,0,0,16125,39,1,38,90,1,0
K,256968607,L,1,2,0,99,27,#,1,0,500,1,63,1,63,5,1,0
S,245373424,L,1,2,0,5,39,11,2,2,0,324,48,1,48,100,1,0
T,314343399,L,1,4,0,99,10,#,1,0,0,1007,37,1,19,130,1,1
C,965643116,L,1,2,0,7,24,#,1,1,0,6158,39,1,35,50,1,0
C,983341194,L,1,4,0,99,21,#,2,0,500,480,30,1,28,90,1,0
,242085757,,,,0,,,,,,,1100,,,,,,
T,983446758,L,1,4,0,99,13,12,1,0,500,540,47,1,42,60,21,1
T,981137237,L,1,4,0,99,13,#,2,0,0,324,15,1,49,100,1,0
T,941082784,L,1,2,0,6,14,12,2,1,0,11280,38,1,31,40,17,0
D,242125713,L,1,3,0,99,1,#,2,0,0,5126,57,1,56,50,1,0
K,989779619,L,1,2,0,99,26,11,1,0,0,800,36,1,35,50,1,0
D,247739083,#,1,2,0,9,**,#,1,4,500,3000,48,0,48,3,1,0
Q,994481119,L,1,2,0,9,47,16,2,1,500,120,48,1,47,100,1,0
C,987066728,a,1,4,0,99,22,#,1,0,0,972,32,1,28,100,1,0
,241724625,,,,0,,,,,,,480,,,,,,
H,967829696,L,1,2,0,99,2,#,2,0,0,324,45,1,42,100,1,0
T,250027837,L,1,2,0,99,**,#,1,0,0,438,34,1,33,50,1,0
T,253672884,L,1,2,0,99,**,#,2,0,500,1350,42,1,42,5,1,1
C,989269789,L,1,2,1,10,23,#,1,3,0,1920,24,1,23,3,21,1
T,616147708,L,1,4,0,99,27,12,2,0,0,5889,54,1,47,90,1,0
T,948217109,L,1,4,0,99,13,#,2,0,0,200,42,1,37,90,1,0
K,958563169,L,1,2,0,99,27,11,2,0,0,540,24,1,19,80,1,1
C,246199908,L,1,2,1,5,**,12,2,2,0,480,65,1,64,10,1,0
K,994856828,L,1,4,0,99,**,12,2,0,500,240,45,1,44,90,1,0
T,964712191,L,1,4,0,99,11,#,1,0,0,648,59,1,54,100,8,0
H,204375579,L,1,2,0,99,4,#,1,0,0,980,26,1,14,70,1,0
,241974625,,,,1,,,,,,,130,,,,,,
C,500719385,a,2,4,0,99,21,#,#,0,0,2610,0,1,999,90,2,1
,515614669,,,,0,,,,,,,130,,,,,,
T,957696911,L,1,4,0,99,14,11,1,0,0,324,21,1,46,100,1,0
,340009192,,,,0,,,,,,,480,,,,,,
N,509415662,a,1,2,0,99,33,11,1,0,0,4020,34,1,24,100,1,0
,245791546,,,,0,,,,,,,480,,,,,,
C,513487100,R,1,4,0,99,23,#,1,0,0,17584,40,1,23,100,1,1
C,515621050,L,1,2,0,99,23,#,2,0,0,450,24,1,44,60,99,1
N,250927477,L,1,4,0,99,34,11,1,0,500,540,34,1,33,60,1,1
,328586047,,,,0,,,,,,,240,,,,,,
K,985632988,L,1,2,0,99,28,12,1,0,500,960,67,1,65,50,12,0
C,943887943,a,1,1,0,99,**,#,1,0,0,840,54,1,44,60,1,0
T,248505257,L,2,90,0,99,23,#,#,0,0,1440,0,1,999,20,1,0
D,986620580,L,1,4,0,99,**,12,2,0,0,525,26,1,24,80,1,0
,251837165,,,,0,,,,,,,960,,,,,,
,978227255,,,,0,,,,,,,130,,,,,,
T,964068836,L,1,4,0,99,**,11,2,0,0,8000,32,1,28,100,10,0
,204309933,,,,0,,,,,,,130,,,,,,
Q,982373778,a,1,2,0,99,**,#,2,0,0,2149,47,1,42,50,1,1
K,243943725,L,1,2,1,4,27,#,2,3,0,2400,19,1,19,100,8,0
T,253169572,9,1,2,0,99,14,#,2,0,500,1007,28,#,26,50,1,1
,241323537,,,,0,,,,,,,1110,,,,,,
,257724061,,,,0,,,,,,,600,,,,,,
T,253860722,L,1,4,0,99,12,12,1,0,500,2052,39,1,39,30,1,1
D,960727659,L,1,4,0,99,1,11,2,0,0,540,41,1,36,100,1,0
T,988438649,L,1,4,0,99,13,16,1,0,500,1500,46,1,43,100,1,0
T,340169510,L,1,4,0,99,12,11,1,0,0,540,37,1,29,100,1,0
C,984493320,L,1,3,0,99,22,#,1,0,0,48043,18,1,50,60,1,1
K,981818876,L,1,2,1,3,26,12,2,10,0,324,38,1,13,0,8,0
C,241817284,L,1,4,0,99,21,12,1,0,0,130,9,1,39,2,1,1
Q,994594533,a,1,4,0,99,46,11,1,0,0,240,33,1,29,70,1,0
R,980744671,#,1,4,0,99,17,11,1,0,500,480,33,0,30,80,1,0
K,605381376,L,1,2,0,6,28,#,2,7,0,1007,58,1,41,3,1,1
T,959027905,a,1,4,0,5,27,#,1,7,0,25690,30,1,23,3,1,0
T,340288184,L,1,4,0,99,8,11,1,0,0,1058,42,1,32,100,1,0
K,993081020,L,1,2,0,99,26,12,2,0,0,54,45,1,44,40,8,0
T,961757756,L,1,2,0,6,**,11,2,2,0,1,45,1,40,10,1,1
T,308264027,a,1,1,0,99,9,#,2,0,0,1134,999,1,48,3,20,1
Q,907293646,L,1,3,0,99,40,#,2,0,0,648,43,1,36,100,1,0
Q,246455515,a,1,2,0,99,**,#,2,0,0,1000,59,1,58,50,1,0
T,240677540,L,1,4,0,99,**,12,1,0,500,302,9,1,30,100,1,0
T,972096624,L,1,4,0,99,1,12,2,0,0,6410,35,1,29,90,1,0
S,990207629,L,1,2,0,99,37,#,2,0,0,324,17,1,46,100,1,0
C,508723491,a,1,2,1,10,24,#,2,3,0,302,45,1,33,100,1,0
C,948382323,L,1,90,0,99,**,12,2,0,0,226,29,1,23,100,1,1
Q,905293764,L,1,4,0,99,**,#,2,0,0,2027,34,1,19,90,1,2
T,309746006,L,1,4,0,99,**,11,2,0,0,4647,32,1,24,120,1,1
N,967588113,L,1,2,0,11,34,11,2,1,0,324,55,1,49,100,1,0
K,951271344,L,1,2,0,99,27,12,2,0,0,100,21,1,15,100,6,0
T,240880514,L,1,2,0,6,12,#,1,5,0,120,13,1,38,10,1,0
,995045045,,,,0,,,,,,,480,,,,,,
C,968859740,L,1,2,0,99,23,11,2,0,0,1763,26,1,22,60,1,2
K,251810960,L,1,4,0,99,**,11,2,0,0,840,45,1,43,90,1,0
N,952185834,L,1,4,0,99,32,#,2,0,0,360,41,1,36,90,1,1
T,318371389,L,1,2,0,99,13,11,1,0,0,324,40,1,32,100,1,0
K,613224545,a,1,4,0,99,27,#,2,0,0,324,33,1,15,100,8,0
T,989161162,L,1,4,0,99,**,#,1,0,0,2057,31,1,30,90,1,1
,309585567,,,,0,,,,,,,130,,,,,,
T,986102925,L,1,2,1,6,**,11,2,7,0,3600,50,1,49,10,1,0
C,961366524,L,1,2,0,99,23,#,2,0,0,324,16,1,41,100,1,0
K,984146880,L,1,2,0,99,27,12,2,0,0,980,23,1,19,60,6,0
K,989383407,a,1,4,0,10,28,11,1,3,0,600,38,1,35,3,1,0
,944946209,,,,0,,,,,,,38520,,,,,,
T,996290622,L,1,4,0,99,13,12,1,0,0,226,36,1,36,80,1,1
T,305856505,L,1,4,0,99,12,#,1,0,0,250,45,1,30,110,1,0
Q,241184518,L,1,4,0,99,43,11,2,0,0,356,38,1,35,80,1,1
Q,960949850,L,1,2,0,8,43,#,2,1,0,1680,29,1,24,30,1,1
N,983843340,L,1,2,0,99,**,#,2,0,0,12808,22,1,20,50,1,1
C,248930615,#,1,4,0,99,23,#,1,0,500,864,31,#,31,40,1,0
,254848623,,,,0,,,,,,,1110,,,,,,
K,607190983,L,1,4,1,99,27,#,2,0,0,79010,34,1,26,90,20,0
,982804023,,,,0,,,,,,,120,,,,,,
,956217663,,,,0,,,,,,,400,,,,,,
T,256223221,9,1,4,1,99,11,#,1,0,500,540,24,0,24,5,27,1
T,942517631,a,1,2,0,99,13,#,2,0,0,1719,38,1,28,100,1,0
T,300271761,L,1,4,0,99,12,#,1,0,0,648,47,1,25,110,1,0
C,995249370,L,1,4,0,99,23,12,2,0,0,130,29,1,28,80,1,1
,962830625,,,,0,,,,,,,130,,,,,,
Q,954797464,a,1,2,0,99,14,12,2,0,0,1480,24,1,17,50,17,1
T,253517349,a,1,4,0,99,13,#,1,0,0,120,47,1,47,30,1,0
K,990775884,L,1,4,0,99,**,11,2,0,0,120,53,1,51,90,1,1
Q,944569857,L,1,2,0,8,44,#,1,1,0,7370,41,1,35,40,1,1
C,248609515,L,1,4,0,99,23,11,1,0,0,324,33,1,32,100,1,0
T,952283860,L,1,2,1,5,**,#,1,8,0,130,22,1,17,3,1,0
T,323088145,L,1,4,0,99,14,#,1,0,0,3340,81,1,65,50,1,0
T,991319048,L,1,3,0,3,13,#,1,3,0,5000,18,1,17,10,27,1
T,944079138,a,1,2,0,99,**,#,1,0,0,2656,46,1,37,50,1,1
Q,250603424,L,1,4,0,99,47,#,1,0,0,130,16,1,25,20,1,0
D,983902705,L,1,2,0,99,**,#,2,0,0,1200,31,1,30,100,1,0
Q,245157975,L,1,4,0,99,**,12,2,0,500,480,62,1,61,50,1,0
K,601224029,L,1,4,0,99,26,#,2,0,0,7200,40,1,20,110,8,1
,982197384,,,,0,,,,,,,240,,,,,,
K,605923122,L,1,2,0,99,27,#,1,0,0,324,54,1,41,100,1,0
T,240925514,L,1,2,1,3,11,12,1,7,0,5000,24,1,28,0,1,1
T,257201825,a,1,2,0,99,9,11,2,0,0,1,49,1,49,30,1,0
K,252668146,L,1,4,0,99,**,#,2,0,0,1,12,1,45,20,1,0
C,988734152,L,1,4,0,99,23,#,1,0,0,120,43,1,42,70,1,0
,241173485,,,,0,,,,,,,120,,,,,,
K,943422933,L,1,4,0,99,**,11,2,0,0,1400,58,1,51,100,1,0
D,251159646,L,1,4,0,99,1,11,1,0,0,1446,62,1,62,50,1,0
C,248167868,L,1,4,0,99,**,#,2,0,500,1,61,1,61,50,1,0
,983727974,,,,0,,,,,,,530,,,,,,
K,942783558,L,1,4,0,99,30,11,1,0,0,108,9,1,43,100,1,0
Q,986109155,a,1,3,0,99,**,12,2,0,0,324,36,1,31,100,1,0
R,964074684,L,1,2,0,99,**,#,2,0,0,-26270,48,1,43,70,1,0
T,314915124,L,1,2,0,99,8,#,2,0,0,11124,48,1,29,100,1,0
,974661849,,,,0,,,,,,,200,,,,,,
T,316892413,a,1,4,0,99,11,#,1,0,0,5900,60,1,45,100,99,0
D,252565127,L,1,4,0,99,**,#,1,0,0,1,36,1,36,40,1,0
K,958976227,L,1,2,0,99,26,11,2,0,0,1080,21,1,17,70,17,0
T,955706197,L,1,2,0,99,12,#,2,0,0,1480,32,1,28,100,10,1
,970402499,,,,1,,,,,,,1320,,,,,,
N,249811448,L,1,2,0,99,35,12,2,0,0,1,25,1,25,30,1,0
T,308578598,a,1,4,1,99,11,#,1,0,0,39885,32,1,52,40,6,1
T,325548622,L,1,2,1,10,12,#,1,3,0,480,48,1,35,3,99,0
Q,905243332,L,1,4,0,99,**,#,2,0,0,1007,30,1,15,60,1,1
,945448894,,,,0,,,,,,,400,,,,,,
T,304378899,a,1,4,0,99,14,#,2,0,0,16227,33,1,15,80,1,0
T,988079549,a,1,4,1,99,10,11,1,0,0,1080,27,1,23,0,1,0
K,241322961,L,1,4,0,99,**,#,2,0,500,3900,52,1,52,90,1,0
Q,259334599,a,1,4,0,99,**,11,2,0,0,1,60,1,60,30,1,0
T,998086674,L,1,2,0,4,**,12,1,1,0,7120,42,1,42,10,1,1
,959133024,,,,0,,,,,,,10550,,,,,,
,250382685,,,,0,,,,,,,1200,,,,,,
K,615684890,a,1,2,0,99,28,#,2,0,0,120,42,1,30,80,1,0
T,257559954,R,1,4,0,99,13,#,2,0,500,1,51,1,51,5,8,0
T,942331595,L,1,4,0,99,9,#,1,0,0,9600,27,1,21,90,17,0
T,259643630,L,1,2,0,99,**,#,1,0,500,1,29,1,28,5,1,0
T,245543092,9,1,1,0,99,15,#,1,0,500,980,23,0,22,40,27,1
T,942576954,L,1,4,0,99,13,#,2,0,0,3240,27,1,21,90,17,0
K,252700366,L,1,1,0,99,**,#,1,0,500,1,15,1,44,3,1,0
T,940093381,L,1,2,0,99,10,#,1,0,0,7020,46,1,36,100,1,0
T,249622465,L,1,4,0,99,13,12,2,0,0,1620,23,1,23,40,1,0
T,997115735,L,1,2,0,99,**,12,1,0,0,40,14,1,50,20,1,0
T,309890784,L,1,4,0,99,**,11,2,0,0,240,78,1,69,5,1,0
,258346353,,,,0,,,,,,,960,,,,,,
C,505346451,L,1,2,0,99,23,#,2,0,0,2481,62,1,45,50,1,0
T,258181190,L,1,4,0,99,**,11,2,0,500,1680,49,1,49,30,1,0
Q,241930727,L,1,4,0,99,40,#,2,0,0,1058,2,1,32,2,1,1
K,991871417,L,1,4,1,3,27,12,2,4,500,3900,36,1,35,5,1,0
,256533935,,,,1,,,,,,,840,,,,,,
Q,975273142,L,1,2,0,4,40,12,1,2,0,9364,66,1,62,20,1,0
T,319010285,L,1,2,0,99,13,12,1,0,0,1350,31,1,21,80,1,0
S,242585391,L,1,2,0,99,38,11,1,0,0,16600,65,1,65,100,28,0
K,603293840,L,1,4,0,99,**,#,1,0,0,324,48,1,30,100,1,0
S,403869816,a,1,2,0,99,37,11,1,0,0,3500,27,1,17,80,1,0
Q,996861370,L,1,4,0,99,**,11,2,0,0,324,48,1,45,70,1,0
H,985145407,L,1,3,0,3,3,12,1,2,0,130,24,1,22,10,1,0
T,963058910,L,1,4,0,99,**,12,1,0,0,324,50,1,46,100,1,0
D,240168963,L,1,4,0,99,**,11,2,0,500,840,12,1,36,20,1,0
N,952908400,L,1,3,0,6,27,11,1,1,0,980,22,1,40,50,1,1
T,960668213,L,1,4,0,99,13,12,2,0,0,200,35,1,31,90,1,1
T,248651998,L,1,2,0,99,13,#,2,0,500,598,11,1,37,2,1,1
T,252630111,a,1,2,0,99,23,12,1,0,0,400,18,1,18,20,1,1
K,601140698,a,1,4,0,99,29,#,2,0,0,120,48,1,26,110,1,0
C,970962254,a,1,2,0,99,21,#,2,0,0,1660,21,1,46,70,1,0
H,204955481,0,1,4,0,99,4,#,#,0,0,1,0,1,48,80,1,0
T,994608092,L,1,4,0,99,12,12,2,0,0,1007,44,1,43,100,1,1
C,954515412,a,1,4,0,99,23,#,1,0,0,127,72,1,65,50,8,0
S,403222892,L,1,4,0,99,37,#,1,0,0,972,34,1,19,120,1,0
Q,902047491,L,1,2,0,99,40,#,2,0,0,120,40,1,24,60,99,0
T,997386077,L,1,4,0,99,14,#,2,0,500,120,57,1,57,90,1,0
D,944629171,L,1,3,0,10,1,#,2,3,0,1960,23,1,17,3,1,2
C,960673048,L,1,4,0,99,21,11,1,0,0,15700,31,1,26,90,1,1
Q,989232397,L,1,2,1,3,47,12,1,3,0,980,25,1,23,0,1,0
C,249490626,L,1,4,0,99,21,#,1,0,500,3300,20,1,49,20,1,0
T,326946670,L,1,4,0,99,14,#,2,0,0,4460,46,1,34,80,99,1
T,318662363,L,1,2,0,99,8,#,2,0,0,3600,32,1,24,50,1,1
R,703197120,a,1,4,0,99,16,#,2,0,0,2149,35,1,18,120,1,1
K,958707961,L,1,4,0,99,29,11,2,0,0,1008,48,1,41,110,1,1
K,945740978,L,1,2,0,7,27,#,2,2,0,648,24,1,17,100,17,0
T,952617273,L,1,4,0,99,12,#,2,0,0,400,29,1,24,90,1,1
K,977419911,L,1,2,0,99,**,11,1,0,0,5100,49,1,47,100,1,0
,940077204,,,,0,,,,,,,130,,,,,,
T,955111630,L,1,2,0,7,13,11,1,1,0,5442,41,1,37,40,1,1
T,992894749,L,1,4,0,99,13,12,2,0,0,480,40,1,39,100,1,1
K,989368815,L,1,4,0,99,28,12,2,0,0,120,16,1,42,90,1,1
T,995746804,L,1,4,0,99,**,12,1,0,0,540,37,1,36,100,1,1
T,305522848,L,1,4,0,99,14,#,1,0,0,840,67,1,54,50,99,0
,996650421,,,,0,,,,,,,600,,,,,,
K,255182568,L,1,4,0,99,28,11,1,0,500,1200,36,1,36,30,1,0
T,250966880,9,1,4,0,99,12,#,1,0,500,3500,33,#,33,50,99,0
T,954699894,L,1,2,0,10,11,11,1,3,0,980,29,1,24,3,1,0
Q,969580424,L,1,2,0,5,**,11,2,4,0,700,35,1,32,10,1,1
N,940676391,L,1,4,0,99,33,11,2,0,0,5600,49,1,42,140,1,0
K,244706284,9,1,4,0,99,27,#,2,0,500,594,29,#,27,50,21,1
T,308033720,L,1,2,0,99,10,12,2,0,0,3100,24,1,32,60,17,1
D,991386392,a,1,2,0,3,1,12,2,5,0,1460,22,1,19,5,8,1
T,953928873,a,1,4,0,99,14,#,1,0,0,972,32,1,24,90,10,2
T,990492214,L,1,2,1,99,15,11,1,0,0,292,51,1,50,30,28,1
K,944973394,a,1,2,0,99,**,11,1,0,0,324,33,1,24,100,1,0
T,943748224,a,1,2,1,3,14,11,1,7,0,1570,28,1,19,3,1,0
Q,996563783,L,1,4,0,99,**,#,2,0,500,797,32,1,32,80,1,1
T,983605550,L,1,4,0,99,**,11,2,0,0,4560,66,1,64,50,1,0
H,248934572,L,1,4,0,99,4,#,1,0,500,1,45,1,45,50,1,0
T,984917974,L,1,90,0,99,22,#,2,0,0,240,35,1,31,100,8,0
C,960907234,L,1,2,0,3,21,#,1,6,0,480,19,1,42,0,1,0
Q,258233124,a,1,3,0,99,42,11,2,0,0,1,67,1,66,30,28,0
T,940326779,a,1,4,1,10,12,#,1,3,0,324,28,1,19,100,1,0
D,987830638,L,1,4,0,99,**,#,2,0,500,720,58,1,57,50,1,0
T,977747755,L,1,4,0,99,4,12,1,0,0,1099,54,1,51,90,1,0
H,955521660,L,1,2,0,99,**,#,1,0,0,888,43,1,38,50,1,0
T,324299875,L,1,4,0,99,13,#,2,0,0,1680,42,1,27,120,99,0
K,941123386,L,1,2,0,99,13,#,1,0,0,100,33,1,26,60,1,0
,956164259,,,,0,,,,,,,980,,,,,,
K,614869460,L,1,4,0,99,27,#,2,0,0,130,30,1,18,90,8,0
Q,254148571,L,1,4,0,99,**,#,2,0,500,120,58,1,58,80,1,0
T,246252423,L,1,4,0,99,14,#,1,0,0,100,26,1,26,80,1,1
T,246258030,L,1,4,0,99,11,12,2,0,0,400,38,1,35,90,1,0
T,990832635,L,1,4,0,99,14,11,1,0,0,4374,42,1,41,80,1,0
N,941251043,a,1,2,0,6,34,#,1,1,0,9843,31,1,21,0,1,1
T,995337847,L,1,4,0,99,**,11,1,0,500,900,65,1,64,50,1,0
Q,901574335,L,1,2,0,9,44,#,1,1,0,1,68,1,49,50,99,0
T,957974078,L,1,4,0,99,13,11,2,0,0,2585,34,1,30,110,1,1
N,959986130,a,1,4,0,99,35,11,1,0,0,130,61,1,54,100,1,0
K,993153819,a,1,2,0,99,27,#,2,0,0,1110,35,1,33,50,1,1
T,310176648,a,1,2,1,3,13,#,2,6,0,130,51,1,29,10,6,0
N,803199565,L,1,4,0,99,35,#,2,0,0,130,50,1,32,110,1,1
T,962342444,L,1,2,0,6,11,#,1,5,0,2000,38,1,34,10,8,1
C,504325787,L,1,2,0,99,22,#,2,0,0,648,42,1,22,100,1,0
,254850587,,,,0,,,,,,,4820,,,,,,
